catheter_type,filename,ok,error,rmse_error,normalized_error,error_percent,rmse_section,rmse_pair,rmse_big,rmse_small,rmse_all,rmse_outer,match_mode,score,ksize,threshold,iou_pair,iou_big,iou_small,iou_all,iou_outer,scale,shift_x,shift_y,rotation_deg,fit_scale
pro1,1_S15_11.BMP,True,,0.08921336753839225,0.4460668376919612,44.606683769196124,0.10904998332262039,0.07977384701371193,,,0.1128915399312973,,hole,0.7756107696240976,25,151.0,0.7756128739167835,,,0.7756044567460402,,3.291568171845679,-759.69681617735,-669.3741497368474,116.0,1.0
pro1,1_S15_22.BMP,True,,0.08873919052651075,0.44369595263255374,44.36959526325538,0.10827372968196869,0.07935148850083351,,,0.11228802055120468,,hole,0.7780249687532228,25,150.0,0.7780267717753055,,,0.7780195596869746,,3.293838907804294,-754.0891005702476,-625.6637621493762,73.5,1.0
pro1,1_S15_44.BMP,True,,0.08828902770362582,0.44144513851812905,44.1445138518129,0.10774971544742584,0.07894916087388992,,,0.11171794682741165,,hole,0.7802153036841893,25,151.0,0.780215998223327,,,0.7802132200667765,,3.3008723366759782,-775.5120380965861,-627.2279521414866,163.25,1.0
pro1,1_S17_11.BMP,True,,0.09684689564676299,0.48423447823381494,48.423447823381494,0.11585681140422821,0.08654340729117393,,,0.12267029285430908,,hole,0.7351696141332777,25,149.0,0.7351778089879919,,,0.7351450295691354,,3.1560388711634184,-645.1692315533217,-562.9929937159175,96.0,1.0
pro1,1_S17_22.BMP,True,,0.09628576464318593,0.4814288232159296,48.142882321592964,0.11535033583641052,0.08604416251182556,,,0.12195491045713425,,hole,0.7382172291653634,25,149.0,0.7382242662483236,,,0.7381961179164825,,3.159006264150748,-671.8188820962471,-553.918914887236,50.75,1.0
pro1,1_S17_33.BMP,True,,0.09522823194625644,0.4761411597312822,47.61411597312822,0.11343543976545334,0.08509144932031631,,,0.12063167244195938,,hole,0.743787623825684,25,149.0,0.7437923333654728,,,0.7437734952063176,,3.1732104568953963,-636.1512361725192,-553.4945226862797,5.5,1.0
pro1,1_S17_55.BMP,True,,0.09695982979481581,0.484799148974079,48.4799148974079,0.11607971042394638,0.08663031458854675,,,0.12284298986196518,,hole,0.7342544204744961,25,151.0,0.7342577592543147,,,0.7342444041350404,,3.1641162234612734,-645.3308871860575,-524.3157195690394,-84.0,1.0
pro1,1_s15_33.BMP,True,,0.08827639897753828,0.44138199488769136,44.13819948876914,0.10798564553260803,0.07893835380673409,,,0.11170093715190887,,hole,0.7803009081135401,25,150.0,0.7803021572154747,,,0.7802971608077365,,3.2977347031081616,-784.6640733737884,-668.3221672560569,29.0,1.0
pro1,1_s17_66.BMP,True,,0.09717414511507128,0.4858707255753564,48.587072557535635,0.11641821265220642,0.08682119101285934,,,0.12311580032110214,,hole,0.7330931393913309,25,152.0,0.7330971708217111,,,0.7330810451001903,,3.1631456058662835,-671.5775085018684,-600.1925719540961,-127.5,1.0
pro1,1_s17_77.BMP,True,,0.09719115724565561,0.485955786228278,48.5955786228278,0.11631853133440018,0.08683851733803749,,,0.1231328547000885,,hole,0.7330731405815434,25,152.0,0.7330783932066207,,,0.7330573827063115,,3.1611344207411354,-650.0937617255738,-585.2031173948362,6.75,1.0
