experiment,n_folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,loss_mean,loss_std
densenet121_original_5fold_freeze,5,0.9722222222222221,0.048112522432468836,0.9715776397515528,0.04948828850002103,0.6905552837583754,0.056448580287845454
densenet121_original_holealign_5fold_freeze,5,0.9722222222222223,0.02777777777777779,0.9721251984730246,0.027887252837687698,0.5748525520165761,0.13611942633515345
densenet201_original_5fold_freeze,5,0.9777777777777779,0.03621779114001473,0.9777391304347827,0.036280778602866964,0.7357799291610718,0.01021702623836838
densenet201_original_holealign_5fold_freeze,5,0.9944444444444445,0.012422599874998837,0.9944347826086958,0.012444204396520588,0.6368458244535657,0.042787944067154304
efficientnetb0_original_5fold_freeze,5,0.9944444444444445,0.012422599874998837,0.9944347826086956,0.012444204396520586,0.606261256006029,0.0169725217289379
efficientnetb0_original_holealign_5fold_freeze,5,0.9722222222222221,0.019641855032959663,0.9721155366372758,0.019779372185889977,0.6548047555817498,0.00293986303220735
inceptionv3_original_5fold_freeze,5,0.9888888888888889,0.015214515486254621,0.9888695652173913,0.015240975513187252,0.7445088783899942,0.05785852344390756
inceptionv3_original_holealign_5fold_freeze,5,0.9833333333333334,0.015214515486254621,0.9833043478260869,0.015240975513187252,0.8007909814516705,0.007218410039253264
mobilenetv2_original_5fold_freeze,5,0.9666666666666666,0.04564354645876386,0.9660124223602484,0.04699475915282746,0.6119296722941929,0.008896563956843186
mobilenetv2_original_holealign_5fold_freeze,5,0.9888888888888889,0.015214515486254621,0.9888695652173913,0.015240975513187252,0.6371206786897448,0.07641220015703261
resnet18_original_5fold_freeze,5,0.9722222222222223,0.019641855032959663,0.9719104084321476,0.020145061097642494,0.6425759858555264,0.02642376925041715
resnet18_original_holealign_5fold_freeze,5,0.9777777777777779,0.030429030972509243,0.9777584541062803,0.030455490999441812,0.538519495063358,0.11374144063897375
resnet50_original_5fold_freeze,5,0.9888888888888889,0.015214515486254621,0.9888695652173913,0.015240975513187252,0.8058788167105781,0.014419019718192802
resnet50_original_holealign_5fold_freeze,5,0.9722222222222221,0.062112999374994135,0.9729213315420212,0.06054974341222,0.8824737826983133,0.02886895128504251
